Question,Category,Genre,Intensity,Safe for First Time?,Safe for Work?,Egyptian Translation (Ammiya)
What was your favorite day with me?,"Friends, Lovers",Deep,Medium,No,Yes,إيه كان أحلى يوم قضيته معايا؟
"When did you realize I loved you-like, actually not me just saying it?",Lovers,Deep,Bold,No,Yes,إمتى حسيت إني بحبك بجد، مش مجرد كلام؟
What type of dad do you think I'll be?,Lovers,Deep,Bold,No,Yes,تفتكر هكون أب عامل إزاي؟
What's a common trait shared by everyone else that you've dated?,Lovers,Honest,Bold,No,No,إيه الصفة المشتركة في كل الناس اللي ارتبطت بيهم قبلي؟
What do you hope our future home looks like?,"Friends, Lovers",Deep,Medium,No,Yes,نفسك شكل بيتنا في المستقبل يكون إزاي؟
"If zombies took over, what would you want me to do?","Friends, Lovers",What If...,Light,Yes,Yes,لو الزومبي انتشروا، عايزني أعمل إيه؟
"If you had to guess what I talked about the most as a kid, what would it be?","Family, Friends, Lovers",Know me,Light,No,Yes,تفتكر وأنا صغير كنت برغي في إيه أكتر حاجة؟
"If you got a call saying I'd been detained, what's your guess for why?","Friends, Lovers",Funny,Light,No,Yes,لو جالك تليفون إن أنا مقبوض عليا، تفتكر التهمة هتكون إيه؟
Who was the first person you told about me?,"Friends, Lovers",Honest,Medium,No,Yes,مين أول حد حكيتله عني؟
"If I gave you a makeover, what would you be most scared of me changing?","Friends, Lovers",Funny,Light,No,Yes,لو عملتلك نيو لوك، هتخاف أغير فيك إيه؟
"If I got banned from a store, which one would it be and why?","Friends, Lovers",Funny,Light,No,Yes,لو اتمعنت أدخل محل، تفتكر هيكون محل إيه وليه؟
What changed in you after we met?,"Friends, Lovers",Deep,Bold,No,Yes,إيه اللي اتغير فيك بعد ما عرفنا بعض؟
"If I lost my keys, where's the first place you'd look?","Family, Friends, Lovers",Know me,Light,No,Yes,لو مفاتيحي ضاعت، أول مكان هتدور فيه فين؟
"If someone gave you a million dollars just to embarrass me in public, what would you do?","Friends, Lovers",Funny,Medium,No,Yes,لو حد عرض عليك مليون دولار عشان تحرجني قدام الناس، هتعمل إيه؟
"If we were stuck in a time loop, repeating the same day, how would we make it fun?","Friends, Lovers",What If...,Light,Yes,Yes,لو علقنا في يوم بيتعاد كل شوية، هنخليه ممتع إزاي؟
What do you know about me that would ruin my chances of ever becoming president?,"Friends, Lovers",Funny,Medium,No,Yes,تعرف عني إيه ممكن يضيع مستقبلي لو رشحت نفسي للرئاسة؟
"If you had to pick one animal for us to become, what would we be?","Friends, Lovers",What If...,Light,Yes,Yes,لو لازم نتحول لحيوانات، هنكون إيه؟
What part of your personality gets stronger when you're with me?,"Friends, Lovers",Deep,Medium,No,Yes,أنهي جزء في شخصيتك بيظهر أكتر وأنت معايا؟
"If you could instantly make me an expert at one thing, what would it be?","First Date, Friends, Lovers",What If...,Light,Yes,Yes,لو بإيدك تخليني خبير في حاجة فجأة، هتختار إيه؟
What's the one question you've always wanted to ask me but never did?,"Friends, Lovers",Awkward,Bold,No,Yes,إيه السؤال اللي نفسك تسألهولي من زمان ومسألتوش؟
What's the creepiest thing I've said to you?,"Friends, Lovers",Awkward,Bold,No,No,إيه أرعب حاجة قولتهالك قبل كده؟
"If my mom calls asking where I am and I'm ignoring her, what would you say I'm doing?","Family, Friends, Lovers",Funny,Light,No,Yes,لو أمي اتصلت تسأل عليا وأنا مطنشها، هتقولها إيه؟
"If you had to be conjoined twins with someone from our friend group, who would it be and why?",Friends,Funny,Light,Yes,Yes,لو لازم تكون توأم ملتصق مع حد من شلتنا، هتختار مين وليه؟
"If I suddenly had a completely different personality, would you still love me?","Friends, Lovers",Deep,Bold,No,Yes,لو شخصيتي اتغيرت 180 درجة، هتفضل تحبني؟
Do you think you could survive in a reality TV show?,"Coworkers, First Time Meeting, Friends",Funny,Light,Yes,Yes,تفتكر تقدر تستحمل في برنامج واقع (Reality TV)؟
Who is more likely to get distracted by something shiny or colorful?,"First Time Meeting, Friends",Funny,Light,Yes,Yes,مين فينا بيتشد لأي حاجة بتلمع أو ملونة أكتر؟
Who's more likely to be caught snacking late at night?,"First Time Meeting, Friends",Funny,Light,Yes,Yes,مين فينا بيحب يصوصو في الأكل بليل أكتر؟
Who is more likely to become friends with a random stranger they meet in public?,"First Time Meeting, Friends",Funny,Light,Yes,Yes,مين فينا اجتماعي وممكن يصاحب أي حد في الشارع؟
Who is more likely to laugh at a joke that nobody else finds funny?,"First Time Meeting, Friends",Funny,Light,Yes,Yes,مين فينا بيضحك على نكت بايخة محدش غيره بيضحك عليها؟
Who's more likely to stay up all night scrolling on their phone?,"First Time Meeting, Friends",Funny,Light,Yes,Yes,مين فينا بيسهر طول الليل يقلب في الموبايل؟
Who's more likely to hide behind the other person when they see a bug?,"First Time Meeting, Friends",Funny,Light,Yes,Yes,مين بيستخبى ورا التاني لما يشوف حشرة؟
"Who's more likely to say, ""I'm not upset,"" but is actually upset?","First Time Meeting, Friends",Funny,Light,Yes,Yes,مين بيقول 'أنا مش زعلان' وهو شايط من جوه؟
What's a talent you think I secretly have?,"Coworkers, First Date, Friends",Funny,Light,Yes,Yes,إيه الموهبة المستخبية اللي تفتكر إنها عندي؟
"If I had a catchphrase, what would it be?","Coworkers, First Time Meeting, Friends",Funny,Light,Yes,Yes,لو ليا 'لزمة' كلام أو جملة مشهورة، هتكون إيه؟
What do you think I would be terrible at?,"First Date, Friends",Funny,Light,No,Yes,تفتكر إيه الحاجة اللي هكون فاشل فيها جداً؟
"If I were a character in a sitcom, what role would I play?","Coworkers, First Date, First Time Meeting, Friends",Funny,Light,Yes,Yes,لو أنا شخصية في مسلسل سيت كوم، هكون مين؟
"If I had to wear the same outfit every day, what would it be?","Coworkers, First Time Meeting, Friends",Funny,Light,Yes,Yes,لو لازم ألبس طقم واحد كل يوم، هيكون إيه؟
What's one thing I do that would definitely annoy people if they lived with me?,"First Date, Friends",Funny,Light,No,Yes,إيه الحاجة اللي بعملها وممكن تجنن أي حد عايش معايا؟
What's something about me that feels unintentionally funny?,"First Date, Friends",Funny,Light,No,Yes,إيه الحاجة اللي فيا وبتضحك من غير ما أقصد؟
What's the most random job you think I could actually succeed at?,"Coworkers, First Date, First Time Meeting, Friends",Funny,Light,Yes,Yes,إيه أغرب شغلانة تفتكر إني ممكن أنجح فيها؟
"If I disappeared for a week, what's your best guess why?",Friends,Funny,Light,No,Yes,لو اختفيت أسبوع، تفتكر هيكون السبب إيه؟
"If I suddenly became famous, what do you think it would be for?","Coworkers, First Date, First Time Meeting, Friends",Funny,Light,Yes,Yes,لو اشتهرت فجأة، تفتكر هيكون بسبب إيه؟
What's something you're learning to accept about yourself?,"Friends, Lovers",Deep,Bold,No,Yes,إيه الحاجة اللي بتحاول تتقبلها في نفسك مؤخراً؟
What kind of people make you feel safe?,"First Date, Friends, Lovers",Deep,Medium,No,Yes,إيه نوع الناس اللي بيحسسك بالأمان؟
What drains your energy the most?,"First Date, Friends, Lovers",Deep,Medium,No,Yes,إيه أكتر حاجة بتسحب طاقة؟
What does home mean to you?,"First Date, Friends, Lovers",Deep,Medium,No,Yes,كلمة 'بيت' بتعنيلك إيه؟
What's something you wish you were better at expressing?,"Friends, Lovers",Deep,Bold,No,Yes,إيه الحاجة اللي نفسك تعرف تعبر عنها أحسن؟
What's something small that has a big impact on your mood?,"First Date, Friends, Lovers",Deep,Light,Yes,Yes,إيه الحاجة البسيطة اللي ممكن تقلب مودك؟
What do you usually overthink?,"Friends, Lovers",Deep,Medium,No,Yes,إيه اللي دايماً بتفكر فيه بزيادة (Overthinking)؟
What's one thing you want more of in your life right now?,"First Date, Friends, Lovers",Deep,Medium,No,Yes,إيه اللي نفسك يزيد في حياتك دلوقتي؟
What makes you feel truly appreciated?,"First Date, Friends, Lovers",Deep,Medium,No,Yes,إيه اللي بيحسسك إنك متقدر بجد؟
When was the last time you felt proud of yourself?,"First Date, Friends, Lovers",Deep,Medium,No,Yes,إمتى آخر مرة حسيت بفخر بنفسك؟
What's a boundary you struggle to maintain?,"Friends, Lovers",Awkward,Bold,No,No,إيه الحد اللي بتبقى صعب تحافظ عليه مع الناس؟
What's something you secretly want more credit for?,"Friends, Lovers",Awkward,Medium,No,Yes,إيه الحاجة اللي نفسك الناس تقدرك عليها أكتر؟
What's something you're scared people might misunderstand about you?,"Friends, Lovers",Awkward,Bold,No,Yes,إيه الحاجة اللي بتخاف الناس تفهمها غلط عنك؟
What's something you avoid thinking about?,"Friends, Lovers",Awkward,Bold,No,No,إيه الموضوع اللي بتحاول ما تفكرش فيه؟
What's one thing you need reassurance about?,"Friends, Lovers",Awkward,Bold,No,Yes,إيه الحاجة اللي محتاج حد يطمنك بخصوصها؟
When was the last time you avoided a hard conversation?,"Friends, Lovers",Awkward,Bold,No,No,إمتى آخر مرة هربت من مواجهة أو كلام تقيل؟
What's something you wish you reacted differently to in the past?,"Friends, Lovers",Awkward,Medium,No,Yes,إيه الموقف اللي بتتمنى لو كنت اتصرفت فيه بشكل مختلف؟
"What's something you judge people for, even if you don't want to?","Friends, Lovers",Awkward,Bold,No,No,إيه الحاجة اللي بتحكم على الناس بسببها غصب عنك؟
What's a compliment you don't fully believe?,"Friends, Lovers",Awkward,Medium,No,Yes,إيه المجاملة اللي لما بتتقالك مش بتصدقها أوي؟
"What's a habit you know isn't great, but you still do?","Friends, Lovers",Awkward,Medium,No,Yes,إيه العادة الهباب اللي عارف إنها غلط ولسه بتعملها؟
What if money wasn't an issue — how would your life change?,"Coworkers, First Date, First Time Meeting, Friends",What If...,Light,Yes,Yes,لو الفلوس مش مشكلة، حياتك هتتغير إزاي؟
What if you could send your past self one sentence — what would it say?,"First Date, First Time Meeting, Friends",What If...,Medium,Yes,Yes,لو تقدر تبعت جملة واحدة لنفسك زمان، هتقول إيه؟
What if you could relive one conversation — which one?,"First Date, Friends, Lovers",What If...,Medium,No,Yes,لو تقدر تعيد محادثة واحدة حصلت، هتختار أنهي؟
What if your life had chapters — what would this chapter be called?,"First Date, First Time Meeting, Friends",What If...,Medium,Yes,Yes,لو حياتك فصول في كتاب، الفصل ده هيكون اسمه إيه؟
What if you woke up tomorrow with zero fear — what would you do first?,"First Date, First Time Meeting, Friends",What If...,Medium,Yes,Yes,لو صحيت بكرة ومنعدم عندك الخوف، هتعمل إيه أول حاجة؟
What if you could restart one year of your life — which year would it be?,"First Date, First Time Meeting, Friends",What If...,Medium,Yes,Yes,لو ينفع تعيد سنة واحدة من حياتك، هتختار سنة كام؟
What if you had to move to a new country tomorrow — where would you go?,"Coworkers, First Date, First Time Meeting, Friends",What If...,Light,Yes,Yes,لو لازم تهاجر بكرة لبلد تانية، هتروح فين؟
What if you could instantly master one skill — what would it be?,"Coworkers, First Date, First Time Meeting, Friends",What If...,Light,Yes,Yes,لو ينفع تتعلم مهارة فجأة، هتختار إيه؟
What if you had to describe your future in three words?,"Coworkers, First Date, First Time Meeting, Friends",What If...,Light,Yes,Yes,لو هتوصف مستقبلك في 3 كلمات، هيبقوا إيه؟
What if we met again for the first time today — what would be different?,"First Date, Friends, Lovers",What If...,Light,No,Yes,لو اتقابلنا لأول مرة النهاردة، إيه اللي كان هيختلف؟
What's something you think I'm better at than I realize?,"Family, Friends, Lovers",Know me,Light,No,Yes,إيه الحاجة اللي أنا شاطر فيها وأنا مش واخد بالي؟
What's my biggest comfort activity?,"Family, Friends, Lovers",Know me,Light,No,Yes,إيه أكتر حاجة بعملها عشان أروق؟
What's one thing you think I need more of in my life?,"Family, Friends, Lovers",Know me,Medium,No,Yes,إيه اللي تفتكر حياتي محتاجاه أكتر؟
What kind of situation do you think stresses me out?,"Family, Friends, Lovers",Know me,Light,No,Yes,إيه المواقف اللي بتوترني؟
What do you think makes me feel calm?,"Family, Friends, Lovers",Know me,Light,No,Yes,تفتكر إيه اللي بيهديني؟
What's one thing you think motivates me?,"Family, Friends, Lovers",Know me,Light,No,Yes,إيه اللي بيحفزني ويشجعني؟
What do you think I value more than I admit?,"Family, Friends, Lovers",Know me,Medium,No,Yes,تفتكر إيه الحاجة اللي تهمني جداً بس مابقولش؟
What's something you think I've changed about over time?,"Family, Friends, Lovers",Know me,Medium,No,Yes,إيه اللي اتغير فيا مع الوقت من وجهة نظرك؟
What do you think I worry about the most?,"Family, Friends, Lovers",Know me,Light,No,Yes,تفتكر إيه أكتر حاجة شايل همها؟
What do you think I'm most confident about?,"Family, Friends, Lovers",Know me,Light,No,Yes,إيه أكتر حاجة أنا واثق في نفسي فيها؟
What's one hobby you've always wanted to try?,"Coworkers, First Date, First Time Meeting, Friends",What If...,Light,Yes,Yes,إيه الهواية اللي نفسك تجربها من زمان؟
Do you prefer planning or going with the flow?,"Coworkers, First Date, First Time Meeting, Friends",Honest,Light,Yes,Yes,بتحب تخطط ولا تسيبها بظروفها؟
What's something you never get tired of?,"First Date, First Time Meeting, Friends",Deep,Light,Yes,Yes,إيه الحاجة اللي عمرك ما بتزهق منها؟
Are you more of a morning or night person?,"Coworkers, First Date, First Time Meeting, Friends",Funny,Light,Yes,Yes,أنت كائن نهاري ولا ليلي؟
What's one thing people usually get wrong about you?,"First Date, First Time Meeting, Friends",Honest,Light,Yes,Yes,إيه الفكرة الغلط اللي الناس عادة بتاخدها عنك؟
What's something simple that makes you happy?,"First Date, First Time Meeting, Friends",Deep,Light,Yes,Yes,إيه الحاجة البسيطة اللي بتفرحك؟
What's a small thing that instantly improves your mood?,"First Date, First Time Meeting, Friends",Deep,Light,Yes,Yes,إيه التفصيلة الصغيرة اللي بتحسن مودك في ثانية؟
What's your go-to comfort food?,"First Date, First Time Meeting, Friends",Funny,Light,Yes,Yes,إيه أكلتك المفضلة اللي بتعدل مزاجك؟
What kind of music do you usually listen to?,"Coworkers, First Date, First Time Meeting, Friends",Honest,Light,Yes,Yes,بتسمع نوع مزيكا إيه عادةً؟
"Do you enjoy being around people, or do you need alone time?","First Date, First Time Meeting, Friends",Honest,Light,Yes,Yes,بتحب اللمة ولا بتفضل قعدة البيت لوحدك؟
What kind of moments make you feel connected to someone?,"First Date, Friends, Lovers",Deep,Medium,No,Yes,إيه المواقف اللي بتحسسك بالقرب من حد؟
What's something you're curious about right now?,"First Date, First Time Meeting, Friends",Honest,Light,Yes,Yes,إيه اللي شاغل فضولك الأيام دي؟
"What's your love language, even outside relationships?","First Date, Friends",Deep,Light,No,Yes,إيه لغة الحب بتاعتك (حتى مع الصحاب والأهل)؟
What's your idea of a perfect simple day?,"First Date, First Time Meeting, Friends",Deep,Light,Yes,Yes,إيه هو اليوم البسيط والمثالي بالنسبة لك؟
What's your favorite way to spend a free evening?,"First Date, First Time Meeting, Friends",Honest,Light,Yes,Yes,بتحب تقضي سهرتك الفاضية إزاي؟
What makes you feel comfortable with someone?,"First Date, Friends",Deep,Medium,No,Yes,إيه اللي بيخليك تاخد راحتك مع حد؟
What's one thing you value a lot in relationships?,"First Date, Friends, Lovers",Deep,Medium,No,Yes,إيه الحاجة اللي بتقدسها في العلاقات؟
What made you smile today?,"First Date, Friends, Lovers",Deep,Light,Yes,Yes,إيه اللي ضحكك النهاردة؟
What's something you're excited about lately?,"First Date, First Time Meeting, Friends",Deep,Light,Yes,Yes,إيه اللي متحمسله الفترة دي؟
What's a green flag for you in people?,"First Date, Friends",Honest,Light,No,Yes,إيه العلامة الخضراء (Green Flag) اللي بتحب تشوفها في الناس؟
"If I had to live in a video game, which one would it be?","Coworkers, Family, First Date, First Time Meeting, Friends, Lovers",Funny,Light,Yes,Yes,لو هعيش جوه لعبة فيديو، هتكون إيه؟
"If aliens landed and asked about me, what would you tell them?","Coworkers, Family, First Date, First Time Meeting, Friends, Lovers",Funny,Light,Yes,Yes,لو الفضائيين نزلوا وسألوك عني، هتقولهم إيه؟
What's the weirdest thing you think I secretly enjoy?,"Coworkers, Family, First Date, First Time Meeting, Friends, Lovers",Funny,Light,Yes,Yes,إيه الحاجة الغريبة اللي تفتكر إني بستمتع بيها في السر؟
"If I were a song, which one would I be?","Coworkers, Family, First Date, First Time Meeting, Friends, Lovers",Funny,Light,Yes,Yes,لو أنا أغنية، هكون أغنية إيه؟
What's the most absurd habit I have?,"Coworkers, Family, First Date, First Time Meeting, Friends, Lovers",Funny,Light,Yes,Yes,إيه أعجب عادة عندي؟
"If I had a pet that matched my personality, what would it be?","Coworkers, Family, First Date, First Time Meeting, Friends, Lovers",Funny,Light,Yes,Yes,لو هربي حيوان شبه شخصيتي، هيكون إيه؟
"If you had to describe me as a meme, which one would it be?","Coworkers, Family, First Date, First Time Meeting, Friends, Lovers",Funny,Light,Yes,Yes,لو هتوصفني بـ ميم (Meme)، هتختار أنهي واحد؟
Which cartoon character am I secretly most like?,"Coworkers, Family, First Date, First Time Meeting, Friends, Lovers",Funny,Light,Yes,Yes,أنا شبه مين من شخصيات الكرتون؟
"If I could be a superhero, what ridiculous power would I have?","Coworkers, Family, First Date, First Time Meeting, Friends, Lovers",Funny,Light,Yes,Yes,لو بقيت بطل خارق، تفتكر قوتي العجيبة هتبقى إيه؟
What's the funniest thing you've caught me doing by accident?,"Coworkers, Family, First Date, First Time Meeting, Friends, Lovers",Funny,Light,Yes,Yes,إيه أكتر حاجة بتضحك شوفتني بعملها وأنا مش واخد بالي؟
What's a moment in your life that changed you the most?,"Family, First Date, Friends, Lovers",Deep,Medium,No,Yes,إيه اللحظة اللي غيرت فيك كتير في حياتك؟
What's one value you think defines me the most?,"Family, First Date, Friends, Lovers",Deep,Medium,No,Yes,إيه القيمة أو المبدأ اللي بيعبر عني؟
"If you could give me advice, what would it be?","Family, Friends, Lovers",Deep,Medium,No,Yes,لو هتنصحني نصيحة، هتقولي إيه؟
What do you think I'm most passionate about?,"Family, Friends, Lovers",Deep,Light,No,Yes,تفتكر إيه أكتر حاجة أنا شغوف بيها؟
What does connection mean to you?,"Family, First Date, Friends, Lovers",Deep,Medium,No,Yes,كلمة 'تواصل' أو Connection بتعنيلك إيه؟
What's a fear you think I secretly have?,"Family, Friends, Lovers",Deep,Medium,No,Yes,تفتكر إيه الخوف اللي مداريه؟
What makes you trust someone completely?,"Family, First Date, Friends, Lovers",Deep,Medium,No,Yes,إيه اللي يخليك تثق في حد ثقة عمياء؟
"If you could relive one day with me, which would it be?","Family, Friends, Lovers",Deep,Medium,No,Yes,لو ينفع تعيد يوم واحد قضيناه سوا، هتختار أنهي؟
How do you think I cope with stress?,"Family, Friends, Lovers",Deep,Medium,No,Yes,تفتكر أنا بتعامل إزاي مع الضغط؟
